sofifa_id,21,22,23,24,25,26,27,cluster,short_name,max_overall,max_overall-potential_%
211110.0,78.0,85.0,88.0,89.0,88.0,88.0,87.0,3,P. Dybala,89.0,94.0
205600.0,79.0,82.0,83.0,87.0,86.0,83.0,80.0,3,S. Umtiti,87.0,92.0
207865.0,81.0,82.0,83.0,84.0,86.0,85.0,87.0,3,Marquinhos,87.0,90.0
209499.0,78.0,79.0,83.0,85.0,85.0,87.0,86.0,3,Fabinho,87.0,89.0
216267.0,73.0,75.0,75.0,81.0,85.0,87.0,87.0,3,A. Robertson,87.0,89.0
212218.0,83.0,84.0,84.0,83.0,87.0,87.0,86.0,3,A. Laporte,87.0,90.0
210514.0,73.0,79.0,79.0,81.0,84.0,83.0,86.0,3,João Cancelo,86.0,89.0
208418.0,78.0,82.0,85.0,83.0,83.0,82.0,84.0,3,Y. Carrasco,85.0,90.0
216594.0,79.0,81.0,82.0,85.0,84.0,83.0,84.0,3,N. Fekir,85.0,89.0
202556.0,81.0,80.0,79.0,83.0,84.0,85.0,85.0,3,M. Depay,85.0,89.0
207862.0,77.0,77.0,78.0,80.0,81.0,82.0,84.0,3,M. Ginter,84.0,85.0
204923.0,72.0,74.0,78.0,81.0,81.0,83.0,84.0,3,M. Sabitzer,84.0,85.0
200458.0,76.0,79.0,79.0,78.0,83.0,84.0,84.0,3,L. Digne,84.0,86.0
209889.0,76.0,76.0,81.0,78.0,81.0,84.0,84.0,3,R. Guerreiro,84.0,86.0
212523.0,77.0,76.0,79.0,82.0,83.0,82.0,82.0,3,Anderson Talisca,83.0,89.0
200454.0,80.0,81.0,79.0,79.0,83.0,81.0,81.0,3,Paco Alcácer,83.0,88.0
207410.0,78.0,79.0,82.0,83.0,82.0,83.0,83.0,3,M. Kovačić,83.0,89.0
205175.0,77.0,79.0,79.0,80.0,83.0,81.0,81.0,3,A. Milik,83.0,88.0
209359.0,57.0,62.0,68.0,68.0,70.0,69.0,69.0,4,B. O'Neill,70.0,75.0
207956.0,56.0,59.0,63.0,64.0,67.0,68.0,70.0,4,P. Mpanzu,70.0,72.0
208806.0,57.0,64.0,65.0,65.0,65.0,69.0,69.0,4,M. Fox,69.0,74.0
222930.0,58.0,61.0,68.0,69.0,68.0,68.0,67.0,4,T. Serbest,69.0,74.0
205759.0,60.0,61.0,61.0,63.0,66.0,68.0,69.0,4,D. Stojanović,69.0,72.0
210020.0,61.0,63.0,66.0,69.0,66.0,65.0,66.0,4,P. Weihrauch,69.0,74.0
204846.0,59.0,60.0,64.0,69.0,69.0,69.0,69.0,4,J. Blackman,69.0,77.0
203491.0,58.0,62.0,66.0,69.0,69.0,68.0,65.0,4,A. O'Brien,69.0,73.0
202693.0,57.0,63.0,64.0,64.0,65.0,67.0,69.0,4,M. Crooks,69.0,73.0
221605.0,59.0,63.0,66.0,66.0,68.0,67.0,66.0,4,A. Jeremejeff,68.0,72.0
210029.0,61.0,62.0,66.0,66.0,66.0,68.0,66.0,4,J. Rafferty,68.0,71.0
213841.0,59.0,59.0,63.0,68.0,68.0,68.0,68.0,4,V. Lekhal,68.0,74.0
201847.0,59.0,61.0,67.0,67.0,67.0,66.0,68.0,4,L. Bostyn,68.0,72.0
202528.0,60.0,61.0,61.0,61.0,64.0,68.0,68.0,4,J. Ruffels,68.0,70.0
202464.0,60.0,65.0,64.0,65.0,65.0,67.0,68.0,4,J. Clark,68.0,70.0
200793.0,61.0,62.0,62.0,65.0,68.0,67.0,67.0,4,C. Robertson,68.0,71.0
223265.0,59.0,62.0,65.0,65.0,67.0,66.0,64.0,4,M. Devlin,67.0,74.0
220191.0,61.0,65.0,67.0,65.0,66.0,65.0,65.0,4,Marcelo Djaló,67.0,73.0
221531.0,54.0,55.0,57.0,62.0,64.0,67.0,67.0,4,M. Maroši,67.0,71.0
195427.0,59.0,60.0,61.0,65.0,67.0,65.0,66.0,4,J. Stockley,67.0,71.0
199439.0,67.0,72.0,73.0,79.0,78.0,74.0,72.0,5,M. Gregoritsch,79.0,82.0
202429.0,70.0,72.0,71.0,75.0,79.0,78.0,76.0,5,D. da Costa,79.0,81.0
205391.0,70.0,71.0,76.0,75.0,78.0,76.0,76.0,5,S. Meïté,78.0,81.0
206591.0,71.0,76.0,78.0,78.0,77.0,76.0,73.0,5,M. Weiser,78.0,85.0
205966.0,69.0,77.0,77.0,75.0,77.0,75.0,78.0,5,A. Younes,78.0,83.0
206198.0,71.0,77.0,78.0,77.0,76.0,75.0,74.0,5,D. Heintz,78.0,84.0
206534.0,70.0,71.0,70.0,71.0,72.0,71.0,78.0,5,P. Bamford,78.0,78.0
203965.0,76.0,74.0,75.0,76.0,78.0,74.0,71.0,5,V. Fischer,78.0,84.0
213629.0,70.0,72.0,73.0,77.0,78.0,76.0,75.0,5,E. Pulgar,78.0,83.0
212245.0,72.0,77.0,75.0,74.0,77.0,75.0,77.0,5,Y. Gerhardt,77.0,85.0
205878.0,73.0,75.0,77.0,73.0,73.0,73.0,73.0,5,S. Kapino,77.0,83.0
212888.0,70.0,73.0,74.0,76.0,77.0,72.0,73.0,5,C. Salcedo,77.0,81.0
220925.0,69.0,75.0,77.0,77.0,77.0,72.0,71.0,5,A. Schöpf,77.0,82.0
212678.0,70.0,72.0,73.0,77.0,76.0,76.0,76.0,5,L. Augustinsson,77.0,82.0
212476.0,72.0,77.0,74.0,75.0,75.0,74.0,73.0,5,Medrán,77.0,84.0
210761.0,68.0,74.0,75.0,76.0,77.0,76.0,75.0,5,R. Pizarro,77.0,82.0
210972.0,72.0,77.0,76.0,74.0,74.0,76.0,74.0,5,Manquillo,77.0,85.0
208787.0,73.0,75.0,73.0,74.0,76.0,77.0,76.0,5,A. Thomasson,77.0,82.0
212212.0,72.0,75.0,76.0,77.0,76.0,75.0,75.0,5,D. Kohr,77.0,81.0
204289.0,76.0,77.0,76.0,71.0,69.0,71.0,70.0,5,S. Berahino,77.0,85.0
213732.0,56.0,73.0,74.0,78.0,78.0,76.0,72.0,6,A. Selikhov,78.0,82.0
221201.0,63.0,71.0,70.0,73.0,73.0,76.0,74.0,6,T. Leibold,76.0,78.0
200746.0,62.0,66.0,68.0,69.0,67.0,76.0,72.0,6,J. Lundstram,76.0,78.0
211927.0,66.0,72.0,70.0,76.0,75.0,74.0,73.0,6,Kwon Chang Hoon,76.0,82.0
